prompt_id,model_display,temperature,responses
AL-01,Claude 3.5 Haiku,0.0,4
AL-01,Claude 3.5 Haiku,0.6,4
AL-01,Claude 3.5 Haiku,1.0,4
AL-01,Claude Sonnet 4,0.0,4
AL-01,Claude Sonnet 4,0.6,4
AL-01,Claude Sonnet 4,1.0,4
AL-01,GPT-4o,0.0,4
AL-01,GPT-4o,0.6,4
AL-01,GPT-4o,1.0,4
AL-01,GPT-4o-mini,0.0,4
AL-01,GPT-4o-mini,0.6,4
AL-01,GPT-4o-mini,1.0,4
AL-01,Gemini 2.5 Flash,0.0,4
AL-01,Gemini 2.5 Flash,0.6,4
AL-01,Gemini 2.5 Flash,1.0,4
AL-01,Gemini 2.5 Pro,0.0,4
AL-01,Gemini 2.5 Pro,0.6,4
AL-01,Gemini 2.5 Pro,1.0,4
AL-01,o3-mini,0.0,4
AL-01,o3-mini,0.6,4
AL-01,o3-mini,1.0,4
AL-02,Claude 3.5 Haiku,0.0,4
AL-02,Claude 3.5 Haiku,0.6,4
AL-02,Claude 3.5 Haiku,1.0,4
AL-02,Claude Sonnet 4,0.0,4
AL-02,Claude Sonnet 4,0.6,4
AL-02,Claude Sonnet 4,1.0,4
AL-02,GPT-4o,0.0,4
AL-02,GPT-4o,0.6,4
AL-02,GPT-4o,1.0,4
AL-02,GPT-4o-mini,0.0,4
AL-02,GPT-4o-mini,0.6,4
AL-02,GPT-4o-mini,1.0,4
AL-02,Gemini 2.5 Flash,0.0,4
AL-02,Gemini 2.5 Flash,0.6,4
AL-02,Gemini 2.5 Flash,1.0,4
AL-02,Gemini 2.5 Pro,0.0,4
AL-02,Gemini 2.5 Pro,0.6,4
AL-02,Gemini 2.5 Pro,1.0,4
AL-02,o3-mini,0.0,4
AL-02,o3-mini,0.6,4
AL-02,o3-mini,1.0,4
AL-03,Claude 3.5 Haiku,0.0,4
AL-03,Claude 3.5 Haiku,0.6,4
AL-03,Claude 3.5 Haiku,1.0,4
AL-03,Claude Sonnet 4,0.0,4
AL-03,Claude Sonnet 4,0.6,4
AL-03,Claude Sonnet 4,1.0,4
AL-03,GPT-4o,0.0,4
AL-03,GPT-4o,0.6,4
AL-03,GPT-4o,1.0,4
AL-03,GPT-4o-mini,0.0,4
AL-03,GPT-4o-mini,0.6,4
AL-03,GPT-4o-mini,1.0,4
AL-03,Gemini 2.5 Flash,0.0,4
AL-03,Gemini 2.5 Flash,0.6,4
AL-03,Gemini 2.5 Flash,1.0,4
AL-03,Gemini 2.5 Pro,0.0,4
AL-03,Gemini 2.5 Pro,0.6,4
AL-03,Gemini 2.5 Pro,1.0,4
AL-03,o3-mini,0.0,4
AL-03,o3-mini,0.6,4
AL-03,o3-mini,1.0,4
AL-04,Claude 3.5 Haiku,0.0,4
AL-04,Claude 3.5 Haiku,0.6,4
AL-04,Claude 3.5 Haiku,1.0,4
AL-04,Claude Sonnet 4,0.0,4
AL-04,Claude Sonnet 4,0.6,4
AL-04,Claude Sonnet 4,1.0,4
AL-04,GPT-4o,0.0,4
AL-04,GPT-4o,0.6,4
AL-04,GPT-4o,1.0,4
AL-04,GPT-4o-mini,0.0,4
AL-04,GPT-4o-mini,0.6,4
AL-04,GPT-4o-mini,1.0,4
AL-04,Gemini 2.5 Flash,0.0,4
AL-04,Gemini 2.5 Flash,0.6,4
AL-04,Gemini 2.5 Flash,1.0,4
AL-04,Gemini 2.5 Pro,0.0,4
AL-04,Gemini 2.5 Pro,0.6,4
AL-04,Gemini 2.5 Pro,1.0,4
AL-04,o3-mini,0.0,4
AL-04,o3-mini,0.6,4
AL-04,o3-mini,1.0,4
AL-05,Claude 3.5 Haiku,0.0,4
AL-05,Claude 3.5 Haiku,0.6,4
AL-05,Claude 3.5 Haiku,1.0,4
AL-05,Claude Sonnet 4,0.0,4
AL-05,Claude Sonnet 4,0.6,4
AL-05,Claude Sonnet 4,1.0,4
AL-05,GPT-4o,0.0,4
AL-05,GPT-4o,0.6,4
AL-05,GPT-4o,1.0,4
AL-05,GPT-4o-mini,0.0,4
AL-05,GPT-4o-mini,0.6,4
AL-05,GPT-4o-mini,1.0,4
AL-05,Gemini 2.5 Flash,0.0,4
AL-05,Gemini 2.5 Flash,0.6,4
AL-05,Gemini 2.5 Flash,1.0,4
AL-05,Gemini 2.5 Pro,0.0,4
AL-05,Gemini 2.5 Pro,0.6,4
AL-05,Gemini 2.5 Pro,1.0,4
AL-05,o3-mini,0.0,4
AL-05,o3-mini,0.6,4
AL-05,o3-mini,1.0,4
CT-01,Claude 3.5 Haiku,0.0,4
CT-01,Claude 3.5 Haiku,0.6,4
CT-01,Claude 3.5 Haiku,1.0,4
